City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,Trinidad,-14.8333,-64.9,82.72,47,18,4.25,BO,2022-09-19 02:40:36
282,Alghero,40.5589,8.3181,57.29,100,0,2.3,IT,2022-09-19 02:42:10
283,Dedovichi,57.5517,29.9502,47.39,89,100,12.21,RU,2022-09-19 02:42:11
284,Genhe,50.7833,121.5167,39.9,33,3,14.56,CN,2022-09-19 02:42:12
285,Zalantun,48.0,122.7167,49.91,16,5,22.64,CN,2022-09-19 02:42:12
286,Jurbarkas,55.0778,22.7664,45.48,96,100,5.46,LT,2022-09-19 02:42:13
287,Den Helder,52.9599,4.7593,57.97,73,75,18.01,NL,2022-09-19 02:40:25
288,Camar,47.3,22.6167,47.32,88,99,12.08,RO,2022-09-19 02:42:13
289,Lichtenburg,-26.152,26.1597,61.03,26,74,13.24,ZA,2022-09-19 02:42:14
290,Sabha,27.0377,14.4283,80.47,16,0,11.01,LY,2022-09-19 02:42:14
291,Fare,-16.7,-151.0167,78.85,72,0,18.12,PF,2022-09-19 02:42:15
292,Hendersonville,36.3048,-86.62,74.77,74,3,4.94,US,2022-09-19 02:38:11
